,Query,Sql pattern new
2681,What are my account receivable since <date>?,select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
2682,"This fiscal year, what are my AP?","select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date)"
2683,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
2684,How much money have we paid to cigna health care This fiscal year to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""cigna health care"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
2685,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
2686,How many checks did we receive yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
2687,How many invoices are past due since Last 30 days?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date)  and open_balance > 0"
2688,Show number of transactions with Mr B,"select transaction_type, count(distinct transaction_id) from master_txn_table where customers = 'B' or vendor = 'B'"
2689,Display all of mark cho's transactions,"select distinct transaction_id from master_txn_table where customers = ""mark cho"""
2690,How much money did we make This year to date?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
2691,When was freeman sporting good first payment?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""freeman sporting good"" order by transaction_date limit 1"
2692,When was mark cho first payment?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""mark cho"" order by transaction_date limit 1"
2693,What is my last invoice from gevelber photography?,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""gevelber photography"" order by transaction_date limit 1"
2694,What was our smallest expense MTD?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
2695,"This week, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date)  order by sum(debit) desc limit 1"
2696,Did we receive payment from pye's cakes partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""pye's cakes"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
2697,How many checks were received yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
2698,How much did jeff's jalopy spend Last quarter?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""jeff's jalopy"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
2699,"Last 30 days, what are my AP?","select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
2700,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
2701,Who are my outstanding creditors?,"select vendor_name, balance from vendors where balance != 0"
2702,What were my outgoings during the Last fiscal year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days'); and account_type in ('Expense','Other Expense')"
2703,what are sales by location this year,"select billing_city, sum(credit) from master_txn_table as T1 inner join customers as T2 on T1.customers = T2.customer_name where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)  group by billing_city"
2704,"which installation category  freeman sporting good am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""freeman sporting good"" and instr(account,""installation"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
2705,What are sonnenschein family store recurring product purchases over past 6 months?,"select product_service from ( select product_service, count(distinct strftime(""%m"", transaction_date)) as n_months from master_txn_table where customers = ""sonnenschein family store"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_date) - 6 group by product_service ) where n_months >= 6"
2706,What is the average spend per month on promotional in the last 12 months?,"select sum(debit)/12 from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,""promotional"") and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp)-1 and account_type in ('Expense','Other Expense')"
2707,What are my AR this month/last month?,"select strftime(""%m"", transaction_date), sum(amount) from master_txn_table where account = ""Accounts Receivable (A/R)"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_timestamp) - 1 group by strftime(""%m"", transaction_date)"
2708,How many weiskopf consulting invoices are still oustanding?,"select count(*) from master_txn_table where customers = ""weiskopf consulting"" and Open_balance > 0"
2709,Show number of transactions with Mr B,"select transaction_type, count(distinct transaction_id) from master_txn_table where customers = 'B' or vendor = 'B'"
2710,"This month to date, what was our smallest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  order by sum(debit) desc limit 1"
2711,How much did we pay fidelity the Last 30 days?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""fidelity"" and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
2712,What was our total income from rock in q2,"select sum(credit) from master_txn_table where product_service = ""rock"" and strftime(""%m"", transaction_date) in (""04"", ""05"", ""06"");"
2713,What was our smallest expense This month?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  order by sum(debit) limit 1"
2714,How much money have we paid to pg This quarter to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""pg"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
2715,show me expenses for inventory asset this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
2716,What were my outgoings during the MTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date) AND date(current_date)  and account_type in ('Expense','Other Expense')"
2717,How many checks were received yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
2718,What was the General Ledger Account 762 for the year?,"select * from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_id = ""762"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
2719,How many paulsen medical supplies invoices are still oustanding?,"select count(*) from master_txn_table where customers = ""paulsen medical supplies"" and Open_balance > 0"
2720,What is my average revenue for 55 twin lane in the Last 12 months?,"select avg(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""55 twin lane"" and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date) "
2721,What was our smallest expense Last 30 days?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date)  order by sum(debit) desc limit 1"
2722,show me expenses for utility this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
2723,What was the first invoice for allowance?,"select transaction_id from master_txn_table where product_service = ""allowance"" and transaction_type = 'invoice' order by transaction_date limit 1"
2724,What are my AP Last month?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
2725,"This quarter, how many invoices were paid?",
2726,What's the total number of invoices we've issued bill's windsurf shop?,"select count(distinct transaction_id) from master_txn_table where customers = ""bill's windsurf shop"" and transaction_type = 'invoice'"
2727,What are my total project costs for Project XYZ?,select sum(debit) from master_txn_table where misc.project = 'XYZ'
2728,"YTD, what are my AP?",select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
2729,"Last year, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days') order by sum(debit) desc limit 1"
2730,Who has the lowest money outstanding?,select customer_name from customers where balance > 0 order by balance limit 1
2731,How many invoices were paid yesterday?,
2732,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
2733,What are my expenses for the This year to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date) and account_type in ('Expense','Other Expense')"
2734,How much money have we paid to book by bessie This quarter to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""book by bessie"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
2735,What were our total payroll expenses YTD?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'payroll') and account_type in ('Expense','Other Expense')"
2736,Give me list of invoices which are due in next 7 days,"select transaction_id from master_txn_table where due_date <= date(current_timestamp,'+7 days') and AR_Paid = 'unpaid'"
2737,What is my min bill for brosnahan insurance agency?,"select min(credit) from master_txn_table where transaction_type = 'bill' and vendor = ""brosnahan insurance agency"""
2738,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
2739,show me expenses for fountain and garden lighting this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
2740,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
2741,What was our smallest expense Last 12 months?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date)  order by sum(debit) limit 1"
2742,How many wedding planning by whitney invoices are still outstanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""wedding planning by whitney"" and open_balance > 0 and transaction_type = 'invoice'"
2743,Show all transactions with Mr B,"select distinct transaction_type, transaction_id from master_txn_table where customers = 'B' or vendor = 'B'"
2744,"august, what are my AP?",select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
2745,Show number of transactions with Mr B,"select transaction_type, count(distinct transaction_id) from master_txn_table where customers = 'B' or vendor = 'B'"
2746,"Last quarter, what are my account payable?",select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
2747,How much credit does customer bill's windsurf shop have year to date?,"select balance from customers where customer_name = ""bill's windsurf shop"""
2748,How much did weiskopf consulting spend on retained earnings in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""weiskopf consulting"" and instr(account,""retained earnings"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
2749,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
2750,What was the most recent invoice for repair?,"select transaction_id from master_txn_table where transaction_type = 'invoice' and product_service = ""repair"" order by transaction_date desc limit 1"
2751,What is my mean revenue for freeman sporting good in the august?,"select avg(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""freeman sporting good"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
2752,How much credit does customer rago travel agency have month to date/year to date,"select balance from customers where customer_name = ""rago travel agency"""
2753,What was the min invoice amount for concrete?,"select min(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_type = 'invoice' and product_service = ""concrete"""
2754,When was the last time we billed for rocks,"select transaction_date from master_txn_table where product_service = ""rocks"" order by transaction_date desc limit 1;"
2755,What was the first invoice for geeta kalapatapu?,"select transaction_id from master_txn_table where customers = ""geeta kalapatapu"" and transaction_type = 'invoice' order by transaction_date limit 1"
2756,What was our smallest expense august?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) limit 1"
2757,How much we received from original cost?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""original cost"")"
2758,How much did dukes basketball camp spend on labor in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""dukes basketball camp"" and instr(account,""labor"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
2759,What were our total payroll expenses Last 30 days?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'payroll') and account_type in ('Expense','Other Expense')"
2760,When was gevelber photography first payment?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""gevelber photography"" order by transaction_date limit 1"
2761,"which other income category  weiskopf consulting am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""weiskopf consulting"" and instr(account,""other income"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
2762,Did we receive payment from amy's bird sanctuary partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""amy's bird sanctuary"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
2763,When did 55 twin lane last pay?,"select transaction_date from master_txn_table where customers = ""55 twin lane"" and transaction_type = 'payment' order by transaction_date desc limit 1"
2764,What was our smallest expense Last fiscal year?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days'); order by sum(debit) desc limit 1"
2765,How much we received from accounting in on <date>?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""accounting"") and transaction_date BETWEEN date(current_date) AND date(current_date) "
2766,How much money does customer bill's windsurf shop still owe?,"select balance from customers where customer_name = ""bill's windsurf shop"""
2767,What's the last journal entry that jeff's jalopy recorded?,"select * from journal_entry where customer_name = ""jeff's jalopy"" order by transaction_date desc limit 1"
2768,"yesterday, what was our smallest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date date( current_date, ""-1 days"") order by sum(debit) desc limit 1"
2769,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
2770,What is my average invoice from freeman sporting good?,"select avg(amount) from (select distinct transaction_id, amount from master_txn_table where customers = ""freeman sporting good"")"
2771,"How much cash did we collect yesterday, by Salesperson?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"")"
2772,How much did we pay national eye care the Last year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""national eye care"" and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days')"
2773,What was the General Ledger Account 762 for the year?,"select * from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_id = ""762"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
2774,What was the average bill mark cho received from hall property?,"select avg(credit) from master_txn_table where customers = ""mark cho"" and transaction_type = 'bill' and vendor = ""hall property"""
2775,How many invoices were paid This month to date?,
2776,"This week to date, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date)  order by sum(debit) desc limit 1"
2777,What's the total number of invoices we've issued barnett design?,"select count(distinct transaction_id) from master_txn_table where customers = ""barnett design"" and transaction_type = 'invoice'"
2778,What are my AR this month/last month?,"select strftime(""%m"", transaction_date), sum(amount) from master_txn_table where account = ""Accounts Receivable (A/R)"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_timestamp) - 1 group by strftime(""%m"", transaction_date)"
2779,How much revenue came through kate whelan last month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""kate whelan"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
2780,Show number of transactions with Mr B,"select transaction_type, count(distinct transaction_id) from master_txn_table where customers = 'B' or vendor = 'B'"
2781,"How much has Salesperson X collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and misc.salesperson = X and product_service = 'Bond fees'"
2782,"Last month, what was our smallest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"")  order by sum(debit) desc limit 1"
2783,What payment method was used to pay invoice #101010,"select payment_method from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
2784,What was the min bill red rock diner received from brosnahan insurance agency?,"select min(credit) from master_txn_table where customers = ""red rock diner"" and transaction_type = 'bill' and vendor = ""brosnahan insurance agency"""
2785,How many checks were received yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
2786,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
2787,Who are my outstanding creditors?,"select vendor_name, balance from vendors where balance != 0"
2788,What was the lowest invoice amount for tax?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""tax"")"
2789,How many invoices have we sent to dukes basketball camp?,"select count(distinct transaction_id) from master_txn_table where customers = ""dukes basketball camp"" and transaction_type = 'invoice'"
2790,What are my expenses for the This month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account_type in ('Expense','Other Expense')"
2791,How many pump did rondonuwu fruit and vegi sell Last 30 days?,"select sum(quantity) from master_txn_table where customers = ""rondonuwu fruit and vegi"" and product_service = ""pump"" and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
2792,How much credit does rondonuwu fruit and vegi have YTD?,"select sum(open_balance) from (select distinct transaction_id, open_balance from master_txn_table where customers = ""rondonuwu fruit and vegi"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account = 'account receivable')"
2793,How much we received from permit?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""permit"")"
2794,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
2795,When was the first time weiskopf consulting paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""weiskopf consulting"" order by transaction_date limit 1"
2796,What is the balance owed by wedding planning by whitney?,"select balance from Customers where customer_name = ""wedding planning by whitney"""
2797,how much did we spend with tania's nursery on other income,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""other income"") and vendor = ""tania's nursery"""
2798,When was the last time wedding planning by whitney paid you?,"select transaction_date from master_txn_table where customers = ""wedding planning by whitney"" and transaction_type = 'payment' order by transaction_date desc limit 1"
2799,"This month to date, how much has travis waldron paid us?","select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""travis waldron"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date)  and account_type in ('Income','Other Income')"
2800,How much revenue came through pye's cake in month of august,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = 8 and T1.customers = ""pye's cake"""
2801,Number of invoices created for landscaping services in This week?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""landscaping services"") and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) "
2802,Did we receive payment from sushi by katsuyuki partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""sushi by katsuyuki"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
2803,What are my total project costs for Project XYZ?,select sum(debit) from master_txn_table where misc.project = 'XYZ'
2804,How much total income did we receive from credit card transactions yesterday?,"select sum(credit) from master_txn_table as T1 join payment_method as T2 on T1.payment_method = T2.payment_method where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and T2.credit_card = ""yes"" "
2805,How much money did we make This month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
2806,"Last 7 days, what was our largest expense?","select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-7 days"") AND date( current_date)  order by sum(debit) desc limit 1"
2807,What was the average invoice amount for professional fees?,"select avg(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""professional fees"")"
2808,"Since between <date> and <date>, how many invoices have been past due?",select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date) AND date(current_date) and open_balance > 0
2809,What are my total sales by concrete?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""concrete"""
2810,How much credit does customer freeman sporting goods have month to date/year to date,"select balance from customers where customer_name = ""freeman sporting goods"""
2811,How much have we been spending on rent or lease Last fiscal year ?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""rent or lease"") and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
2812,What are my AP Last month?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
2813,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
2814,How much balance duke basketball camp have available in checking account?,"select balance from chart_of_accounts where customers = ""duke basketball camp"" and account_name = 'checking'"
2815,"How much cash did we collect yesterday, by Salesperson?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"")"
2816,What are my AR This year to date?,"select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
2817,How many meals did we deliver last week?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
2818,"which pest control services category  duke basketball camp am paying the most for 
in month of july ","select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""duke basketball camp"" and instr(account,""pest control services"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
2819,"Last 30 days, how much did we pay hicks hardware?","select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""hicks hardware"" and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
2820,Who are my outstanding debtors?,"select customer_name, balance from customers where balance != 0"
2821,When did 55 twin lane last pay?,"select transaction_date from master_txn_table where customers = ""55 twin lane"" and transaction_type = 'payment' order by transaction_date desc limit 1"
2822,What are sonnenschein family store recurring product purchases over past 6 months?,"select product_service from ( select product_service, count(distinct strftime(""%m"", transaction_date)) as n_months from master_txn_table where customers = ""sonnenschein family store"" and strftime(""%m"", transaction_date) >= strftime(""%m"", current_date) - 6 group by product_service ) where n_months >= 6"
2823,How much has dylan sollfrank paid us year to date?,"select sum(credit) from master_txn_table where customers = ""dylan sollfrank"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp)"
2824,show me expenses for meal and entertainment this week,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
