,Query,Sql pattern new
1642,When was the last time weiskopf consulting paid you?,"select transaction_date from master_txn_table where customers = ""weiskopf consulting"" and transaction_type = 'payment' order by transaction_date desc limit 1"
1643,what was our top 3 selling products and their sales in q1,"select product_service, sum(quantity) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and strftime(""%m"", transaction_date) in (""01"", ""02"", ""03"") group by product_service order by sum(quantity) desc limit 3;"
1644,What's the last journal entry that freeman sporting good recorded?,"select * from journal_entry where customer_name = ""freeman sporting good"" order by transaction_date desc limit 1"
1645,What was our biggest expense Last 12 months?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date)  order by sum(debit) desc limit 1"
1646,How many account payable did Salesperson X generate yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = ""account payable"" and transaction_date= date(current_date, ""-1 days"") and misc.salesperson = ""X"""
1647,What was my total sales for weiskopf consulting during last month?,"select sum(credit) from master_txn_table where customers = ""weiskopf consulting"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp)-1;"
1648,What are my AP yesterday?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date date( current_date, ""-1 days"")"
1649,Compare sales by customer year to date,"select customers, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) group by customers"
1650,What was the first invoice for dylan sollfrank?,"select transaction_id from master_txn_table where customers = ""dylan sollfrank"" and transaction_type = 'invoice' order by transaction_date limit 1"
1651,When was the last time mark cho paid you?,"select transaction_date from master_txn_table where customers = ""mark cho"" and transaction_type = 'payment' order by transaction_date desc limit 1"
1652,When was the first time rago travel agency paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""rago travel agency"" order by transaction_date limit 1"
1653,"This year to date, how much did we pay books by bessie?","select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""books by bessie"" and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
1654,How many invoices have we sent to customer kate whelan?,"select count(distinct transaction_id) from master_txn_table where customers = ""kate whelan"" and transaction_type = 'invoice'"
1655,"This fiscal year to date, how many invoices were paid?",
1656,How many invoices were paid This quarter?,
1657,Number of invoices created for fuel in MTD?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""fuel"") and transaction_date BETWEEN date(current_date) AND date(current_date) "
1658,"Since Last year, how many invoices have been late?","select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date,  'start of year', '-1 days', 'start of year') AND date(current_date,  'start of year', '-1 days') and open_balance > 0"
1659,Did we receive payment from diego rodriguez partnership last year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""diego rodriguez"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1"
1660,How many MASTERCARD transactions did we have yesterday?,select count(distinct transaction_id) from master_txn_table where payment_method = 'mastercard'
1661,How much balance wedding planning by whitney have available in checking account?,"select balance from chart_of_accounts where customers = ""wedding planning by whitney"" and account_name = 'checking'"
1662,When was the last time rondonuwu fruit and vegi paid you?,"select transaction_date from master_txn_table where customers = ""rondonuwu fruit and vegi"" and transaction_type = 'payment' order by transaction_date desc limit 1"
1663,How much did we pay books by bessie the This month to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""books by bessie"" and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
1664,what was our top 3 selling products and their sales in q1,"select product_service, sum(quantity) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and strftime(""%m"", transaction_date) in (""01"", ""02"", ""03"") group by product_service order by sum(quantity) desc limit 3;"
1665,"Last 30 days, what are my account payable?","select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
1666,When was the first time kookies by kathy paid you?,"select transaction_date from master_txn_table where transaction_type = 'payment' and customers = ""kookies by kathy"" order by transaction_date limit 1"
1667,john melton has received how many invoices?,"select count(distinct transaction_id) from master_txn_table where customers = ""john melton"" and transaction_type = 'invoice'"
1668,How many invoices are still oustanding for customer paulsen medical supplies as of (date)?,"select count(distinct transaction_id) from master_txn_table where customers = ""paulsen medical supplies"" and transaction_type = 'invoice' and AR_paid = 'unpaid'"
1669,Show all transactions with dukes basketball camp,"select count(distinct transaction_id) from master_txn_table where customers = ""dukes basketball camp"""
1670,Total sales for each product,"select product_service, sum(credit) from master_txn_table group by product_service;"
1671,How much money have we paid to norton lumber and building materials on <date>?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""norton lumber and building materials"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
1672,What's the total number of invoices we've issued to geeta kalapatapu?,"select count(distinct transaction_id) from master_txn_table where customers = ""geeta kalapatapu"" and transaction_type = 'invoice'"
1673,What's the total number of invoices we've issued kookies by kathy?,"select count(distinct transaction_id) from master_txn_table where customers = ""kookies by kathy"" and transaction_type = 'invoice'"
1674,How many account receivable did Salesperson X generate yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = ""account receivable"" and transaction_date= date(current_date, ""-1 days"") and misc.salesperson = ""X"""
1675,What's the total number of invoices we've issued john melton?,"select count(distinct transaction_id) from master_txn_table where customers = ""john melton"" and transaction_type = 'invoice'"
1676,What was our smallest expense This year to date?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date) order by sum(debit) limit 1"
1677,What are my total sales by lighting?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""lighting"""
1678,which product did most of our income come from yesterday?,"select product_service, sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and date(transaction_date) = date(current_date) - 1 group by product_service order by sum(credit) desc limit 1"
1679,"Last quarter, what are my AP?",select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
1680,What was our smallest expense since <date>?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
1681,When was the first time we billed for maintenance,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""maintenance"" order by transaction_date asc limit 1"
1682,How much money did we make This fiscal year to date?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day')"
1683,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
1684,How much money have we paid to chin's gas and oil This quarter to date?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""chin's gas and oil"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
1685,"Since This quarter, how many invoices have been late?",select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date) AND date(current_date)  and open_balance > 0
1686,What's the last journal entry that amy's bird sanctuary recorded?,"select * from journal_entry where customer_name = ""amy's bird sanctuary"" order by transaction_date desc limit 1"
1687,What were our total payroll expenses Last year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'payroll') and account_type in ('Expense','Other Expense')"
1688,What was our total income from pest control in q2,"select sum(credit) from master_txn_table where product_service = ""pest control"" and strftime(""%m"", transaction_date) in (""04"", ""05"", ""06"");"
1689,Display the total number of transactions with freeman sporting good,"select count(distinct transaction_id) from master_txn_table where customers = ""freeman sporting good"""
1690,pye's cake has received how many invoices?,"select count(distinct transaction_id) from master_txn_table where customers = ""pye's cake"" and transaction_type = 'invoice'"
1691,How many invoices are past due since (date)?,select count(distinct transaction_id) from master_txn_table where current_date > due_date and transaction_type = 'invoice'
1692,How much money have we paid to sales of product income YTD?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""sales of product income"") and strftime(""%Y"", transaction_date)  = strftime(""%Y"", current_date)"
1693,What are my total project costs for Project XYZ?,select sum(debit) from master_txn_table where misc.project = 'XYZ'
1694,How many invoices have we sent to 0969 ocean view road?,"select count(distinct transaction_id) from master_txn_table where customers = ""0969 ocean view road"" and transaction_type = 'invoice'"
1695,What's the total number of invoices we've issued to shara barnett?,"select count(distinct transaction_id) from master_txn_table where customers = ""shara barnett"" and transaction_type = 'invoice'"
1696,How many VISA transactions did we have yesterday?,select count(distinct transaction_id) from master_txn_table where payment_method = 'visa'
1697,What was the General Ledger Account 762 for the year?,"select * from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_id = ""762"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
1698,What was the max invoice amount for unapplied cash bill payment expense?,"select max(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""unapplied cash bill payment expense"")"
1699,When was the last time we billed for pest control,"select transaction_date from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and product_service = ""pest control"" order by transaction_date desc limit 1"
1700,Did we get paid for the sprinkler head this month?,"select distinct transaction_id, AR_paid from master_txn_table where product_service = ""sprinkler head"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp);"
1701,How many checks did we issue yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
1702,What are my expenses for the past year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date) - 1 and account_type in ('Expense','Other Expense')"
1703,How much did rondonuwu fruit and vegi spend on miscellaneous in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""rondonuwu fruit and vegi"" and instr(account,""miscellaneous"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
1704,"This week to date, how many invoices were paid?",
1705,What's the last journal entry that red rock diner recorded?,"select * from journal_entry where customer_name = ""red rock diner"" order by transaction_date desc limit 1"
1706,What was our smallest expense This week to date?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date)  order by sum(debit) limit 1"
1707,Display all transactions involving kate whelan,"select distinct transaction_id from master_txn_table where customers = ""kate whelan"""
1708,How many invoices were paid yesterday?,
1709,How are my sales year to date compared to last year?,"select strftime(""%Y"", transaction_date), sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_date) - 1 group by strftime(""%Y"", transaction_date)"
1710,How many days past due is invoice #101010,"select due_date - transaction_date from master_txn_table where transaction_type = 'invoice' and transaction_id = ""101010"""
1711,Have we billed dylan sollfrank for the sprinkler pipes last month?,"select transaction_id from master_txn_table where transaction_type = 'bill' and customers = ""dylan sollfrank"" and product_service = ""sprinkler pipes"""
1712,"This quarter to date, how many invoices have been paid?",
1713,What was our smallest expense This week to date?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date)  order by sum(debit) desc limit 1"
1714,show me my product level revenue for this month vs last month,"select product_service, strftime(""%m"", transaction_date), sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) >= strftime(""%m"", current_timestamp) - 1 group by product_service, strftime(""%m"", transaction_date)"
1715,"How much has Salesperson X collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and misc.salesperson = X and product_service = 'Bond fees'"
1716,How many invoices were paid august?,
1717,What was the average invoice amount for 55 twin lane?,"select T1.customers, revenue_this_month, revenue_last_month from (select customers, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T2.account_type in ('Income','Other Income') and strftime(""%m"", T1.transaction_date) = strftime(""%m"", current_timestamp) group by customers) as T1 join (select customers, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by customers) as T2 on T1.customers = T2.customers where revenue_this_month < revenue_last_month"
1718,What are my AP This quarter?,select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
1719,How much revenue came through kookies by kathy last month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""kookies by kathy"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
1720,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
1721,How much did we pay edd the Last month?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and vendor = ""edd"" and transaction_date BETWEEN date( current_date, ""start of month"", ""-1 months"") AND date( current_date, ""start of month"", ""-1 days"") "
1722,How much credit does customer wedding planning by whitney have year to date?,"select balance from customers where customer_name = ""wedding planning by whitney"""
1723,What was the min invoice amount for rago travel agency?,"select T1.customers, revenue_this_month, revenue_last_month from (select customers, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T2.account_type in ('Income','Other Income') and strftime(""%m"", T1.transaction_date) = strftime(""%m"", current_timestamp) group by customers) as T1 join (select customers, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by customers) as T2 on T1.customers = T2.customers where revenue_this_month < revenue_last_month"
1724,How much credit does shara barnett have since <date>?,"select sum(open_balance) from (select distinct transaction_id, open_balance from master_txn_table where customers = ""shara barnett"" and transaction_date BETWEEN date(current_date) AND date(current_date)  and account = 'account receivable')"
1725,Have we billed 55 twin lane for the design last month?,"select transaction_id from master_txn_table where transaction_type = 'bill' and customers = ""55 twin lane"" and product_service = ""design"""
1726,How many invoices are still oustanding for customer kate whelan as of (date)?,"select count(distinct transaction_id) from master_txn_table where customers = ""kate whelan"" and transaction_type = 'invoice' and AR_paid = 'unpaid'"
1727,what was our top 3 selling products and their sales in q1,"select product_service, sum(quantity) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and strftime(""%m"", transaction_date) in (""01"", ""02"", ""03"") group by product_service order by sum(quantity) desc limit 3;"
1728,How often do we bill sod for diego rodriguez?,"select sum(quantity) from master_txn_table where customers = ""diego rodriguez"" and product_service = ""sod"""
1729,How much money does amy's bird sanctuary still owe?,"select billing_city, sum(credit) from master_txn_table join customers on customers = customer_name where account in ('Income','Other Income') and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)  group by billing_city"
1730,Who are my outstanding debtors or creditors?,"select customer_name, balance from customers where balance != 0 union select vendor_name, balance from vendors where balance != 0"
1731,Who has the lowest money outstanding?,select customer_name from customers where balance > 0 order by balance limit 1
1732,"Since Last fiscal year, how many invoices have been past due?","select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and due_date < current_date and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days'); and open_balance > 0"
1733,When was the last time we billed for rock,"select transaction_date from master_txn_table where product_service = ""rock"" order by transaction_date desc limit 1;"
1734,"Last 12 months, how many rock did red rock diner sell?","select sum(quantity) from master_txn_table where customers = ""red rock diner"" and product_service = ""rock"" and transaction_date BETWEEN date( current_date, ""-12 months"", ""start of month"") AND date( current_date) "
1735,What was the min bill 55 twin lane received from fidelity?,"select min(credit) from master_txn_table where customers = ""55 twin lane"" and transaction_type = 'bill' and vendor = ""fidelity"""
1736,"This month to date, what are my AP?","select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date( current_date, ""start of month"") AND date( current_date) "
1737,What was our smallest expense This quarter to date?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
1738,"Which salesperson generated the most ""Bond Fees"" last month?","select misc.salesperson, sum(credit) from master_txn_table where account in ('Income','Other Income') and strftime(""%m"",transaction_date) = strftime(""%m"",current_date) - 1 and misc.salesperson = X and product_service = 'Bond fees' group by misc.salesperson order by sum(credit) desc limit 1"
1739,What is my average revenue for Customer A in the last 5 years?,"select sum(credit)/5 from master_txn_table where customers = ""A"" and strftime(""%Y"", transaction_date) >= strftime(""%Y"", current_timestamp)-4;"
1740,Show me total sales by month,"select sum(amount) from master_txn_table where transaction_type = ""Invoice"" group by strftime(""%m"", transaction_date)"
1741,Number of invoices created for travel meals in This year to date?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""travel meals"") and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
1742,Who has the lowest money outstanding?,select customer_name from customers where balance > 0 order by balance limit 1
1743,What's the profit for the aug?,"select sum(credit - debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income','Expense','Other Expense') and strftime(""%m"", transaction_date) = 8"
1744,How many Adobe subscriptions do we have?,
1745,Display the total number of transactions with rago travel agency,"select count(distinct transaction_id) from master_txn_table where customers = ""rago travel agency"""
1746,How much did we spend on bookkeeper Last fiscal year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""bookkeeper"") and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
1747,What is my average invoice from sonnenschein family store?,"select avg(amount) from (select distinct transaction_id, amount from master_txn_table where customers = ""sonnenschein family store"")"
1748,What is the balance due from video games by dan?,"select balance from Customers where customer_name = ""video games by dan"""
1749,How much we received from opening balance equity in This fiscal year?,"select sum(credit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income', 'Other Income') and instr(account,""opening balance equity"") and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date)"
1750,What was the General Ledger Account 762 for the year?,"select * from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_id = ""762"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_date)"
1751,"Last 30 days, what are my account receivable?","select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
1752,What our monthly spend on diego's road warrior bodyshop,"select sum(debit) from master_txn_table where vendor = ""diego's road warrior bodyshop"" group by strftime(""%m"", transaction_date);"
1753,Display all of cool cars's transactions,"select distinct transaction_id from master_txn_table where customers = ""cool cars"""
1754,What was our smallest expense since <date>?,"select account, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense','Other Expense') and transaction_date BETWEEN date(current_date) AND date(current_date)  order by sum(debit) desc limit 1"
1755,How much revenue came through pye's cake last month?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""pye's cake"" and strftime(""%m"", transaction_date) = strftime(""%m"", current_date) - 1 and account_type in ('Income','Other Income')"
1756,What was the average bill mark cho received from lee advertising?,"select avg(credit) from master_txn_table where customers = ""mark cho"" and transaction_type = 'bill' and vendor = ""lee advertising"""
1757,What's the average contract size for the Sales team?,
1758,How many amy's bird sanctuary invoices are still outstanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""amy's bird sanctuary"" and open_balance > 0 and transaction_type = 'invoice'"
1759,What was the first invoice amount for disposal fees in MTD?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""disposal fees"") and transaction_date BETWEEN date(current_date) AND date(current_date) "
1760,How much did we spend on tim philip masonry in Last 30 days?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where vendor = ""tim philip masonry"" and account_type in ('Expense','Other Expense') and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) "
1761,What is the average spend per month on penalties in the last 12 months?,"select sum(debit)/12 from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,""penalties"") and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp)-1 and account_type in ('Expense','Other Expense')"
1762,How much did paulsen medical supply spend on printing in July?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""paulsen medical supply"" and instr(account,""printing"") and strftime(""%m"", transaction_date) = 7 and account_type in ('Expense','Other Expense')"
1763,Have we billed duke basketball camp for the gardening last month?,"select transaction_id from master_txn_table where transaction_type = 'bill' and customers = ""duke basketball camp"" and product_service = ""gardening"""
1764,"What was the total amount collected in ""Bond Fees"" yesterday?","select sum(credit) from master_txn_table where account in ('Income','Other Income') and transaction_date = date(current_date, ""-1 days"") and product_service = 'Bond fees'"
1765,What was the first invoice for bill's windsurf shop?,"select transaction_id from master_txn_table where customers = ""bill's windsurf shop"" and transaction_type = 'invoice' order by transaction_date limit 1"
1766,which product did most of our income come from yesterday?,"select product_service, sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and date(transaction_date) = date(current_date) - 1 group by product_service order by sum(credit) desc limit 1"
1767,When was bill's windsurf shop last payment?,"select transaction_date from master_txn_table where customers = ""bill's windsurf shop"" and transaction_type = 'payment' order by transaction_date desc limit 1"
1768,What is my total revenue for weiskopf consulting in the august?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and customers = ""weiskopf consulting"" and transaction_date BETWEEN date(current_date) AND date(current_date) "
1769,give me the list of accounts where my revenue increased by more than 50% in this month as compared to last month,"select T1.account, revenue_this_month, revenue_last_month from(select account, sum(credit) as revenue_this_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) group by account) as T1 join (select account, sum(credit) as revenue_last_month from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and strftime(""%m"", transaction_date) = strftime(""%m"", current_timestamp) - 1 group by account) as T2 where revenue_this_month >= revenue_last_month * 1.5"
1770,What are my account payable Last fiscal year?,"select sum(credit) from master_txn_table where account = 'account payable' and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
1771,How many checks did we receive yesterday?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'check' and transaction_date= date(current_date, ""-1 days"")"
1772,What was my expense by products in may?,"select product_service, sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where strftime(""%m"", transaction_date) = 5 and account_type in ('Expense','Other Expense') group by product_service"
1773,How many soil did kate whelan sell last month?,"select sum(quantity) from master_txn_table where customers = ""kate whelan"" and product_service = 'X' and transaction_type in ('invoice', 'sales receipt')"
1774,How much has barnett design paid us year to date?,"select sum(credit) from master_txn_table where customers = ""barnett design"" and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp)"
1775,How many invoices are still oustanding for customer 55 twin lane as of (date)?,"select count(distinct transaction_id) from master_txn_table where customers = ""55 twin lane"" and transaction_type = 'invoice' and AR_paid = 'unpaid'"
1776,What is my last invoice from rondonuwu fruit and vegi?,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""rondonuwu fruit and vegi"" order by transaction_date limit 1"
1777,What are my account receivable This year to date?,"select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date)"
1778,What is my last invoice from paulsen medical supplies?,"select distinct transaction_id, amount, transaction_date from master_txn_table where customers = ""paulsen medical supplies"" order by transaction_date limit 1"
1779,Which customer has AR > 90 days?,"select distinct customers from master_txn_table where AR_paid = 'unpaid' and date(transaction_date,'+90 days') <= current_timestamp"
1780,What is the balance due from barnett design?,"select balance from Customers where customer_name = ""barnett design"""
1781,Whats our monthly spend on mahoney mug?,"select strftime(""%m"", transaction_date), sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where vendor = ""mahoney mug"" and account_type in ('Expense','Other Expense') group by strftime(""%m"", transaction_date)"
1782,How much money did we make on <date>?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Income','Other Income') and transaction_date BETWEEN date(current_date) AND date(current_date) "
1783,How much has mark cho paid us This fiscal year?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""mark cho"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year', '+3 months') AND date(current_date) and account_type in ('Income','Other Income')"
1784,How much did we spend on travel meal Last fiscal year?,"select sum(debit) from master_txn_table as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where account_type in ('Expense', 'Other Expense') and instr(account,""travel meal"") and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days');"
1785,How much has rago travel agency paid us This year?,"select sum(credit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where customers = ""rago travel agency"" and transaction_date BETWEEN date(current_date, 'start of year') AND date(current_date) and account_type in ('Income','Other Income')"
1786,"This quarter, what are my account receivable?",select sum(debit) from master_txn_table where account = 'account receivable' and transaction_date BETWEEN date(current_date) AND date(current_date) 
1787,How many meals did we deliver last week?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where instr(account,'medical & health') and strftime(""%W"", transaction_date) = strftime(""%W"", current_timestamp) and strftime(""%Y"", transaction_date) = strftime(""%Y"", current_timestamp) and account_type in ('Expense','Other Expense')"
